country,year,NY.GDP.PCAP.CD
World,2019,11334.8430932207
World,2018,11288.8842617304
World,2017,10731.6554708352
World,2016,10188.260064838
World,2015,10142.1434788123
World,2014,10881.3308259096
World,2013,10718.5230812784
World,2012,10550.1381274389
World,2011,10454.237868762
World,2010,9514.76030195493
World,2009,8793.14115727515
World,2008,9392.5422935051
World,2007,8657.73037849516
World,2006,7780.40962387222
World,2005,7271.02662558709
World,2004,6800.19029919363
World,2003,6112.91840109124
World,2002,5521.93203415049
World,2001,5387.58499837168
World,2000,5494.39887178018
World,1999,5387.44827484487
World,1998,5289.03310845349
World,1997,5375.47438759961
World,1996,5472.95382197869
World,1995,5430.07897384723
World,1994,4944.72228619782
World,1993,4664.79414575948
World,1992,4661.9739170221
World,1991,4437.53709213032
World,1990,4337.86251681176
World,1989,3914.75966175692
World,1988,3814.11017966514
World,1987,3474.59017467134
World,1986,3107.56290506602
World,1985,2682.8266359668
World,1984,2606.96093491901
World,1983,2553.96825100519
World,1982,2547.34636967847
World,1981,2621.24014168409
World,1980,2580.15366018723
World,1979,2328.82483527085
World,1978,2049.37150788414
World,1977,1761.67701839551
World,1976,1585.85022779004
World,1975,1485.24176746294
World,1974,1358.90921093455
World,1973,1198.54502396733
World,1972,999.64909689843
World,1971,882.926238085447
World,1970,815.93385778788
World,1969,759.580226308764
World,1968,702.098342444083
World,1967,663.178434282278
World,1966,637.857366045837
World,1965,600.873475512674
World,1964,562.911681394535
World,1963,524.35197112745
World,1962,497.40522640349
World,1961,472.105588403059
World,1960,454.057233272848
